Position_X1,Position_Y1,Position_X2,Position_Y2,Position_X3,Position_Y3,Velocity_X1,Velocity_Y1,Velocity_X2,Velocity_Y2,Velocity_X3,Velocity_Y3,Momentum_X1,Momentum_Y1,Momentum_X2,Momentum_Y2,Momentum_X3,Momentum_Y3
100000000000.0,0.0,-100000000000.0,0.0,0.0,150000000000.0,0.0,30000.0,0.0,-30000.0,20000.0,0.0,0.0,1.7916e+29,0.0,-5.967e+34,1.4696e+27,0.0
99999668120.42413,300000000.0125557,-99999999998.99516,-299999999.9874443,199773423.86649644,149999660133.75885,-33.18795758704697,30000.000001255572,0.00010048434597226174,-29999.999998744428,19977.342386649645,-33.98662411553673,-1.981984827098445e+26,1.791600000074983e+29,1.998633641388286e+26,-5.966999999750266e+34,1.467935118571016e+27,-2.497337140009639e+24
99999004364.65126,599999004.4074996,-99999999996.98552,-599999999.9593935,399321174.1771759,149998981755.1349,-66.37557728676423,29999.90043949439,0.00020096434302347064,-29999.99999719492,19954.775031067948,-67.83786239760369,-3.96394947556556e+26,1.7915940542466053e+29,3.997180782736831e+26,-5.966999999442069e+34,1.4662768692828728e+27,-4.984726128975918e+24
99998008743.91913,899996017.6171348,-99999999993.97115,-899999999.9129081,598644147.1168218,149997966208.397,-99.56207321332434,29999.701320963533,0.00030143765513798617,-29999.999995351456,19932.297293964595,-101.55467378732386,-5.94584701229973e+26,1.7915821628879424e+29,5.9955949606945446e+26,-5.966999999075404e+34,1.4646252051605184e+27,-7.462237429892557e+24
99996681277.32304,1199990044.2036507,-99999999989.95213,-1199999999.8450484,797743232.5420196,149996614828.3218,-132.74665960837004,29999.402658651597,0.00040190194644385756,-29999.99999321404,19909.908542519777,-135.1380075201103,-7.92763051181186e+26,1.7915643267746733e+29,7.993829714768327e+26,-5.966999998650273e+34,1.4629800797043532e+27,-9.929940792577705e+24
99995021991.81374,1499980088.9265134,-99999999984.92859,-1499999999.7528753,996619314.0450116,149994928940.28928,-165.9285509312345,29999.004472286273,0.0005023548814868512,-29999.999990782704,19887.608150299202,-168.58880325314993,-9.909253061613324e+26,1.7915405470849363e+29,9.991838592773469e+26,-5.96699999816668e+34,1.4613414468839854e+27,-1.2387905263041457e+25
99993030922.19424,1799965156.8098197,-99999999978.90065,-1799999999.63345,1195273269.0167165,149992909860.37738,-199.10696194910372,29998.506788330633,0.0006027941255042537,-29999.999988057483,19865.39549717048,-201.90799119083124,-1.1890667767600474e+27,1.7915108253991054e+29,1.1989575156279606e+27,-5.966999997624633e+34,1.4597092611320868e+27,-1.4836199192702279e+25
99990708111.11597,2099944253.2096014,-99999999971.86847,-2099999999.4838345,1393705968.708925,149990558895.4553,-232.2811078270973,29997.909639978167,0.0007032173446983798,-29999.99998503845,19843.269969220848,-235.09649220815527,-1.387182775943425e+27,1.791475163699496e+29,1.3986992986050774e+27,-5.966999997024147e+34,1.4580834773383477e+27,-1.7274890247455248e+25
99988053609.07379,2399916383.881067,-99999999963.83224,-2399999999.301091,1591918278.2956872,149987877343.27557,-265.4502042182433,29997.21306714653,0.0008036222065097141,-29999.999981725683,19821.23095867621,-268.1552179721683,-1.5852686195913492e+27,1.791433564369991e+29,1.5984045687478214e+27,-5.966999996365238e+34,1.4564640508435277e+27,-1.970404541659493e+25
99985067474.40025,2699880555.0457673,-99999999954.79218,-2699999999.082284,1789911056.933902,149984866492.56497,-298.61346735332364,29996.417116470056,0.000904006379889616,-29999.999978119296,19799.277863821484,-301.08507106145385,-1.783319627034049e+27,1.7913860301955918e+29,1.7980686896004463e+27,-5.966999995647928e+34,1.4548509374336026e+27,-2.212373102159563e+25
